Statute,Code,Desc,Count
720-5/20-1.1(A)(1),Violent,AGG ARSON/KNOW PEOPLE PRE,52
720-5/24-1.2,Violent,AGGRAVATED DISCHARGE/FIREARM,52
625-5/11-204.1(A)(3),Nonviolent,AGG FLEEING/DMG >$300 PRO,51
720-5/31A-1.1(a)(1),Drug,BRING CANNABIS IN A PENAL INST,50
720-550/4(f),Drug,"POSS CANNABIS/2000<5,000 GRAMS",50
720-5/16-1(A)(2)(A),Nonviolent,THEFT/DECEP/INTENT/>100K-,50
720-5/16G-15(a)(3),Nonviolent,ID THFT/OBTAINS ANOTHR'S ID,49
720-570/408(a),Nonviolent,2ND OR SUBQ OFFENSE UNDER ACT,49
720-5/33-3(B),Nonviolent,OFFL MISCONDUCT/FORBIDDEN,49
720-5/20-1.2(a),Nonviolent,RESIDENTIAL ARSON,49
720-570/401(f),Drug,OTHER AMOUNT SCHEDULE III,48
720-570/401(a)(11),Drug,MFG/DEL 200+ SCHED I&II/ANLG,48
720-5/12-30(a)(2),Nonviolent,VIO ORDER/NOTICE/PRIOR BATTERY,48
720-5/12-13(A)(2),Nonviolent,CRIM SEX ASSAULT/CANT CON,48
625-5/11-501(d)(1),Nonviolent,AGGRAVATED DUI/3RD+ DUI,48
625-5/11-204.1(a)(3),Nonviolent,AGG FLEEING/DMG >$300 PROPERTY,48
720-5/16-1(A)(4)(A),Nonviolent,THEFT/STOLEN/INTENT/>$300,48
720-5/16-16(A),Nonviolent,POSSESSION OF STOLEN FIRE,47
720-5/17-3(A)(3),Nonviolent,FORGERY/POSSESS WITH INTE,47
510-70/3.02,Violent,AGGRAVATED CRUELTY TO ANIMALS,47
720-5/12-3.2,Violent,BATTERY/DOMESTIC,47
720-5/12-4.1,Violent,HEINOUS BATTERY,47
720-5/24-1.1,Violent,UNLWFL USE FIREARMS/FELON,47
625-5/4-103.2(a)(1),Nonviolent,UNLWFL POSS>3VEH/PARTS/STOLEN,46
720-5/11-20.1(A)(6),Nonviolent,CHILD PORN/POSS FILM/PHOT,46
720-5/12-16(B),Violent,AGG CRIM SEX ABUSE/FAMILY,46
720-5/12-14(b)(i),Violent,AGG CRIM SEX ASLT/VICTIM <9,46
720-570/401(g),Drug,OTHER AMOUNT SCHEDULE IV,45
430-65/2(a)(1),Nonviolent,FIREARM W/O VALID FOID/ELIG,45
720-5/33-1(a),Nonviolent,BRIBERY/OFFER BRIBE,45
720-570/401(c)(11),Drug,MFG/DEL 50-200 GR SCHED I&II,44
720-550/5(a),Drug,MANU/DEL CAN <2.5 GRAMS/SCHOOL,44
625-5/11-204(a),Nonviolent,FLEEING/ATTEMPT ELUDE OFFICER,44
720-5/16G-20(A),Nonviolent,"AGG ID THEFT $300<$10,000",44
720-5/31-6(C),Nonviolent,FELON ESCAPE/PEACE OFFICE,44
720-5/10-3.1(A),Nonviolent,AGGRAVATED UNLAWFUL RESTR,43
720-5/46-1(a),Nonviolent,"INSURANCE FRD $10,000<100,000",43
720-5/33A-2(A)(1),Violent,ARMED VIOLENCE/CATEGORY I,43
720-5/12-4(B)(10),Violent,AGG BATTERY/INDIV OVER 60,43
720-5/12-13(A)(3),Violent,CRIM SEX ASSAULT/FAMILIES,43
720-5/16-1(a)(4)(B),Nonviolent,THEFT STOLEN KNOW DPRV 300<10K,42
720-5/24-1(a)(7)(i),Nonviolent,MACHINE GUN/AUTOMATIC WEAPON,42
720-5/16-1(a)(2)(B),Nonviolent,THEFT DECEP KNOW DEPRIVE <$300,42
720-5/24-1(A)(10),Nonviolent,CARRY/POSS FIREARM/PUBLIC,42
720-5/10-5(b)(10),Nonviolent,CHILD ABDUCTN/LURE <16 YRS VEH,41
720-5/21-3(a)(1),Nonviolent,CRIMINAL TRESPASS BUILDING,41
720-5/21-4(a),Nonviolent,CRIM DMG/STATE PROP/KNOW/<$500,41
720-5/10-2(A)(6),Violent,AGG KIDNAPING ARMED W/FIR,41
720-5/10-1(a)(2),Violent,KIDNAPING/FORCE OR THREAT,41
720-570/401(A)(2)(D),Drug,MFG/DEL 900+ GR COCAINE/A,40
720-5/16-1(a)(5),Nonviolent,THEFT/STOL/LAW ENF/>$300 <10K,40
720-5/19-4(a)(1),Nonviolent,CRIM TRESPASS TO RESIDENCE,40
720-5/16-1(a)(4)(C),Nonviolent,THEFT/STOLEN/USE/<$300/1ST,40
625-5/4-104(a)(3),Nonviolent,POSS STOLEN TITLE/CERTIF/PLATE,40
720-5/24-1.2(A)(1),Violent,AGG DISCHARGE FIREARM/OCC,40
720-570/401(a)(6.5)(A),Drug,15<100 GRAMS METH/ANALOG,39
720-5/16G-15(A)(4),Nonviolent,ID THEFT/KNOW STOLEN,39
720-5/12-4(b)(11),Violent,AGG BATTERY/PREGNANT PERSON,39
720-5/10-1(a)(1),Nonviolent,KIDNAPING/SECRETLY CONFINE,38
720-570/401(c)(7.5)(i),Drug,MFG 5>15 GRAMS ECSTASY/ANALOG,37
720-570/402(a)(1)(B),Drug,POSSESS 100<400 GRAMS HEROIN,37
720-570/401(a)(7.5)(A)(i),Drug,MFG 15>100 GR ECSTASY/ANALOG,37
720-5/19-4(A)(2),Nonviolent,CRIM TRES TO RES/PERS PRE,37
720-5/16-1(a)(1)(C),Nonviolent,THEFT CONTROL PROB DPRV <$300,37
720-5/18-4(a)(2),Nonviolent,AGG VEH HIJACKING/PASS <16 YRS,37
720-5/10-2(a)(1),Violent,AGGRAVATED KIDNAPING/RANSOM,37
720-550/5(F),Drug,MFG/DEL CANNABIS/2000<500,36
625-5/11-501(A)(2),Nonviolent,DRVG UNDER INFLU OF ALCOH,36
720-5/18-4(a)(1),Nonviolent,AGG VEH HIJACKING/HANDICAPPED,36
625-5/4-103.2(A)(3),Nonviolent,POSS STOLEN VEHICLE > $25,36
720-5/33-1(d),Nonviolent,BRIBERY/RETAINED TO INFLUENCE,36
720-5/12-3.2(A)(2),Violent,DOMESTIC BTRY/ CONTACT/PR,36
720-5/11-9.3(a),Nonviolent,CHILD SEX OFFENDER/SCHOOL ZONE,35
720-5/21-1.2(a)(1),Nonviolent,INST VANDALISM/CHURCH/>$300,35
625-5/11-503(c),Nonviolent,AGGRAVATED RECKLESS DRIVING,35
720-5/12-9(a),Violent,THREATEN A PUBLIC OFFICIAL,35
720-5/26-1(a)(3),Violent,GIVE FALSE BOMB ALARM,35
35-130/24(a),Nonviolent,PERSON POSSESS CIG W/O STAMP,34
720-570/406(B)(3),Nonviolent,OBTAIN SUBSTANCE BY FRAUD,34
625-5/11-501(A)(1),Nonviolent,DRVG UNDER INFLU/0.10 ALC,34
625-5/4-104(a)(1),Nonviolent,UNAUTHD STATE/TITLE/CERTIF,34
38-8-4-95.5-4,Nonviolent,ATTEMP PSMV,34
720-5/16-1(b)(2),Nonviolent,THEFT/SECOND OFFENSE,34
765-1040/2,Nonviolent,"SELL >2000 ITEMS >$100,000",34
720-5/12-2(A)(6),Violent,AGG ASSAULT/OFFICER/FIREA,34
720-570/401(a)(7.5)(B)(ii),Drug,MFG 200>600 PILLS ECSTASY/ANLG,33
15-335/14(a)(3),Nonviolent,ALLOW UNLAWFUL USE/ID CARD,33
720-5/26-5(a),Nonviolent,OWN/BREED/TRAIN FIGHTING DOG,33
720-5/12-21.6(a),Violent,ENDANGER CHILD/CAUSE DEATH,33
625-5/11-501(D)(1)(C),Violent,AGG DUI/GREAT BODILY HARM,33
720-570/405.1,Drug,CRIMINAL DRUG CONSPIRACY,32
720-5/24-5(A),Nonviolent,DEFACE FIREARM ID MARKING,32
625-5/4-103.2(A)(1),Nonviolent,UNLWFL POSS>3VEH/PARTS/ST,32
720-5/12-13(a)(4),Violent,CRIM SEX ASLT/VICTIM 13-17,32
720-5/12-4(b)(3),Violent,AGGRAVATED BATTERY/SCHOOL EMP,32
815-515/3(a)(1),Nonviolent,HM RPR FRAUD/CONTRACT >$1000,31
720-5/12-3(A),Violent,BATTERY,31
720-5/12-4(B)(7),Violent,AGG BTRY/FIRST AID PERSON,31
720-5/.1(a),Violent,SOLICITATION/MURDER,31
720-570/402(B),Drug,POSS CONT SUB,30
815-515/5(a),Nonviolent,AGG HM RPR FRD/INDUC CNTRT>$1K,30
305-5/8A-3(A),Nonviolent,VENDOR FRD/FALSE STMT $10,30
720-5/16-3(b),Nonviolent,THEFT OF LEASED PROPERTY/>$500,30
625-5/4-103(a)(6),Nonviolent,FALSE REPORT OF VEHICLE THEFT,30
625-5/11-501(D)(1)C3),Violent,AGG DUI/GREAT BODILY HARM,30
720-5/9-3.1(A),Violent,CONCEAL HOMICIDAL DEATH,30
720-550/5(G),Drug,"MFG/DEL CANNABIS/>5,000 GRAMS",29
720-570/401(c)(7.5)(ii),Drug,MFG 10>15 PILLS ECSTASY/ANALOG,29
15-335/14(a)(1),Nonviolent,DISP/POSS CANCEL/RVK/ID CARD,29
720-250/13,Nonviolent,RECEIVE GOODS/CARD FRAUD >$150,29
720-5/24-1.1(e),Nonviolent,FELON POSS/USE WEAP/BODY ARMOR,29
625-5/6-301.1(b)(1),Nonviolent,KNOW POSS FIC/ALT LIC/PERMIT,29
720-5/31-6(A),Nonviolent,ESC OF FELON FROM PENAL I,29
720-5/12-16(c)(1)(ii),Violent,AGG CRIM SEX ABUSE/VIC 13-16,29
720-5/12-14(A)(8),Violent,AGG CRIM SEX ASSAULT/FIRE,29
720-570/402(a)(11),Drug,POSS 200+ GR OTHER SCHED I&II,28
720-550/4(a),Drug,POSSESS CANNABIS< 2.5 GRAMS,28
625-5/11-501(D)(1)(F),Nonviolent,AGG DUI/DEATH OF ANOTHER,28
720-570/408(A),Nonviolent,2ND OR SUBQ OFFENSE UNDER,28
720-5/16A-3(D),Nonviolent,RET THEFT/UNDER-RING/>$15,28
625-5/11-501,Nonviolent,DRVNG UNDER INFL ALC/D,28
720-5/16G-15(a)(5),Nonviolent,POSS DOC MAKING IMPLEMENT,28
720-5/24-1.1A,Nonviolent,ATTEMPT U.U.W.,28
720-5/12-4(A)3),Violent,AGG BATT/GREAT HARM/POLICE OFF,28
720-5/12-16(a)(1),Violent,AGG CRIM SEX ABUSE/WEAPON,28
720-5/12-16(a)(2),Violent,AGG CRIM SEX AB/BODILY HARM,28
720-570/406(B)(6),Drug,ILLEG POSS SCRIPT FORMS/1,27
15-335/14A(b)(5),Nonviolent,POSS/FIC/ALT ID CARD/DEFRAUD,27
720-5/18-4(A)(1),Nonviolent,AGG VEH HIJACKING/HANDICA,27
720-5/32-2(a),Nonviolent,PERJURY,27
720-5/12-14(a)(8),Violent,AGG CRIM SEX ASSAULT/FIREARM,27
720-570/401(c)(10),Drug,MFG/DEL 10-30 GR PCP/ANALOG,26
720-550/4(E),Drug,"POSS CANNABIS/500<2,000 G",26
720-250/15,Nonviolent,ALTER CREDIT CARD,26
720-5/17-3A2,Nonviolent,ATTEMPT FORGERY,26
720-5/16-3(a),Nonviolent,THEFT/LABOR/SERVICES/PROPERTY,26
720-5/12-4.6(A),Violent,AGG BATTERY SR CITIZEN >6,26
720-570/402(a)(7.5)(A)(i),Drug,POSS 15>100 GR ECSTASY/ANALOG,25
720-570/407(B)(3),Drug,NON NARC SCHED I/II/SC/HS,25
720-550/5.2(B),Drug,MFG/DEL CAN 30<500 GRAMS/SCH,25
720-5/24-5(A)1),Nonviolent,DEFACE FIREARM ID MARKING,25
720-5/32-5(a),Nonviolent,FALSE PERSONATION OF A LAWYER,25
720-5/16G-15(A)5),Nonviolent,FIN ID THEFT >2K>10K,25
720-5/24-1(A)(4)1),Nonviolent,CARRY/POSSESS FIREARM,25
720-5/16-5,Nonviolent,THEFT/COIN OP MACHINE/2ND+,25
720-5/12-2(a)(1),Violent,AGG ASSAULT/DEADLY WEAPON,25
720-5/10-2(A)(5),Violent,AGGRAVATED KIDNAPING/ARME,25
720-570/401(a)(1)(D),Drug,MFG/DEL 900+ GR HEROIN/ANALOG,24
720-646/60(A),Drug,POSSESSION OF METH< 5 GRA,24
35-5/1301,Nonviolent,INCOME TAX FRAUD,24
720-5/17-3,Nonviolent,ATT FORGERY,24
720-5/24-3(A)(k),Nonviolent,SELL FIREARM/NO VALID FOID,24
720-550/5.2(e),Drug,MFG/DEL CAN <2.5 GRAMS/SCHOOL,23
720-5/12-7.3(a)(1),Nonviolent,STALKING/FOLLOW PERSON,23
720-5/19-2,Nonviolent,POSSESS BURGLARY TOOLS,23
720-5/16-1(A)1),Nonviolent,THEFT,23
720-5/8-4,Nonviolent,ATTEMPT BURGLARY,23
720-5/18-2(a)(4),Violent,ARMED ROBBERY/DISCHARGE/HARM,23
720-570/402-C,Drug,ATT.POSS.CONT.SUB.,22
720-570/402(A)(1)(A),Drug,POSSESS 15<100 GRAMS HERO,22
720-570/402(A)(2)(B),Drug,POSSESS 100<400 GRAMS COC,22
720-5/24-1(a)(7)(iii),Nonviolent,BOMB/BOMBSHELL/GRENADE,22
720-5/11-14(A)(1),Nonviolent,PROSTITUTION/SEX,22
815-515/3(A)(1),Nonviolent,HM RPR FRAUD/CONTRACT >$1,22
720-5/16-1(a)(3)(B),Nonviolent,THEFT THREAT KNOW DPRV <$300,22
720-5/11-9(a)(2),Nonviolent,PUB INDECENCY/EXPOSURE/3RD+,22
720-5/20-1(b),Nonviolent,ARSON/DEFRAUD INS CO/>$150,22
720-5/24-1(a)(1),Nonviolent,UNLAWFUL USE BLACK-JACK/KNIFE,22
720-5/12-14(B)(1),Violent,AGG CRIM SEX ASLT/VICTIM <13,22
720-5/12-16(f),Violent,AGG CRIM SEX AB/VIC 13-18/TRST,22
720-5/24-1.2(A)(3),Violent,AGG DISCH FIR/PC OFF/FIRE,22
720-570/401(E),Drug,OTHER NON-NARCOTIC SCHED I&II,21
720-570/402(A)(7.5)(A)(II),Drug,POSS 15>200 PILLS ECSTASY,21
720-646/20(a)(1),Drug,METH PRECURSOR/15<30 GRAMS,21
720-5/24-1(a)(9),Nonviolent,CARRY/POSSESS CONCEALED GUN,21
720-5/10-2(A)(2),Nonviolent,AGG KIDNAPG/CHILD<13/RETA,21
730-150/3,Nonviolent,CHILD SEX OFFENDER/REGIS,21
625-5/6-303(D)5),Nonviolent,DSL/10 TO 14 CONVICTIONS,21
625-5/11-204.1(a)(4),Nonviolent,AGG FLEEING/2+ CON DEVICES,21
720-5/26-1(A)(3),Violent,GIVE FALSE BOMB ALARM,21
625-5/11-204.1(a)(2),Violent,AGG FLEEING/BODILY INJURY/2ND,21
720-570/401(a)(7.5)(D)(ii),Drug,MFG 1500+ PILLS ECSTASY/ANALOG,20
720-570/406(b)(6),Drug,ILLEG POSS SCRIPT FORMS/1ST,20
720-5/18-4(A)(2),Nonviolent,AGG VEH HIJACKING/PASS <1,20
720-5/29B-1(a),Nonviolent,LAUNDERING CRIM PROP >100K,20
720-5/16A-3A,Nonviolent,RETAIL THEFT,20
720-5/24-3(g),Nonviolent,SALE FIREARM/BEFORE 72 HOURS,20
720-5/33D-1(a),Nonviolent,CONTRIB CRIM DELINQ MINOR/CL 4,20
720-5/32-4a,Nonviolent,HARASS JURORS/WITNESSES,20
625-5/6-303,Nonviolent,YJ-502-235,20
625-5/11-401(A),Violent,ACCIDENT INJURY/DEATH/11-,20
720-5/12-11(a)(6),Violent,HOME INVASION/VIO AGAINST PERS,20
720-5/12-14(A)2),Violent,ATTEMPT AGG CRIM SEX ASSAULT/B,20
720-5/12-14(b)(1),Violent,AGG CRIM SEX ASLT/VICTIM <13,20
720-5/24-1.2(a)(3),Violent,AGG DISCH FIR/PC OFF/FIREMAN,20
720-5/12-16(a)(6),Violent,AGG CRIM SEX AB/DURING FELONY,20
720-570/401(a)(1)(C),Drug,MFG/DEL 400<900 GR HERO/ANLG,19
720-570/401(A)(2)(C),Drug,MFG/DEL 400<900 GR COCA/A,19
720-570/402(b),Drug,OTHER AMOUNT CON/COUNT SUB,19
720-5/16A-3(B),Nonviolent,RET THEFT/SWITCH PRICE/>$,19
720-5/33-1(A),Nonviolent,BRIBERY/OFFER BRIBE,19
720-5/250(/8),Nonviolent,ATT MISUSE CREDIT CARD,19
720-5/16-1(A),Nonviolent,THEFT,19
720-5/26-1(a)(11),Nonviolent,FLS REPORT PUBLIC SAFTEY AGCY,19
625-5/11-503(a),Nonviolent,RECKLESS DRIVING,19
720-5/24-3.5(c),Nonviolent,PURCH 1 FIREARM/FALSE INFO,19
720-5/12-6(A)(1),Violent,INTIMIDATION/PHYSICAL HAR,19
720-5/12-4(B)(17),Violent,AGG BATTERY/POLICE/SHERIF,19
720-5/8-2,Violent,CONSPIRACY TO COMMIT MURDER,19
720-550/4(G),Drug,"POSSESS CANNABIS >5,000 G",18
720-550/4(F),Drug,"POSS CANNABIS/2000<5,000 GRAMS",18
CLASS/TYPE IN ERROR,Drug,CRIMINAL DRUG CONSPIRACY,18
730-150/3(b),Nonviolent,FAIL REG 10 DAYS NEW RESIDENCE,18
720-5/26-1(a)(2),Nonviolent,GIVE FALSE FIRE ALARM,18
720-5/17-1(C)(2),Nonviolent,USE ANOTHER'S CHECK/1ST,18
720-5/16-1.3(A),Nonviolent,FIN EXPLT ELD/DISABLED/5K,18
720-5/18-1A,Nonviolent,ATTEMPT ROBBERY,18
720-5/21-4(b),Nonviolent,CRIM DMG/ST PROP/EXPL/>$500,18
625-5/4-104(A)(1),Nonviolent,UNAUTHD STATE/TITLE/CERTI,18
625-5/11-204.1(A)(2),Violent,AGG FLEEING/BODILY INJURY,18
720-5/9-3.1(a),Violent,CONCEAL HOMICIDAL DEATH,18
720-570/401(C),Drug,MFG/DEL 01-15 GR COCAINE/ANLG,17
625-5/11-501(a)(5),Drug,DRVG U/INFLU/DRUG/3RD/SUBQ,17
720-570/405.1(\407)(1),Drug,CRIMINAL DRUG CONSPIRACY,17
720-570/405.1(A)/401)(C)(2),Drug,CRIMINAL DRUG CONSPIRACY,17
720-600/3.5(a),Drug,POSSESS DRUG PARAPHERNALIA,17
720-5/17-1(B)(e),Nonviolent,FAILURE TO FUND BAD CHECK>$150,17
720-5/12-7.3(a)(2),Nonviolent,STALKING/PERSON/SURVEILLANCE,17
15-335/14(a)(2),Nonviolent,DISP/REP ID CARD NOT ISSUE,17
720-5/21-1(A),Nonviolent,CRIMINAL DAMAGE TO PROPERTY,17
720-5/11-6(A),Nonviolent,INDECENT SOL/AGG CRIM SEX,17
720-5/24-1.6(A)(2)3),Nonviolent,AGG UUW/PERSON/PREV CONVICTION,17
720-5/16G-15(A)6),Nonviolent,ID THEFT/>10K <100K,17
720-5/16H-25(2),Nonviolent,FI INST FRAUD/FLS REP/>300-10K,17
720-250/3,Nonviolent,FALSE STMT TO OBTAIN CRED,17
720-5/16-7(A)(2),Nonviolent,UNLAWFUL USE REC SOUND/SELL,17
720-5/24-3A(a),Nonviolent,GUNRUNNING,17
720-5/16-1(A)1A/B1),Nonviolent,THEFT < $300,17
720-5/18-2(A)(3),Violent,ARMED ROBBERY/DISCHRGE FI,17
720-5/12-4(B)(9),Violent,AGG BATTERY/GOVT EMPLOYEE,17
720-5/18-5A,Violent,ATT AGGRAVATED ROBBERY,17
720-570/407(a),Drug,18+ DEL CON/COUNT SUB TO <18,16
720-5/24-1.1(E),Nonviolent,FEL POSS/USE WEAPON/BODY ARMOR,16
625-5/11-403,Nonviolent,FAIL GIVE INFO/RENDER AID/INJ,16
625-5/11-501(a)(4),Nonviolent,DRVG UNDER INFLU/DRUG AND ALC,16
720-5/17-3(a)(4),Nonviolent,DIGITAL SIGNATURE VIOLATION,16
720-5/17-28,Nonviolent,DEFRD DRUG/ALC SCREENING TESTS,16
625-5/6-301.2(b)(3),Nonviolent,POSS/DISPLAY/FRAUD/DL/INTENT,16
720-5/17-1(B)(a),Nonviolent,DECEPTION/CAUSE ANOTHER TO ACT,16
625-5/4-103(a)(3),Nonviolent,CONCEAL/MISREP VEHICLE ID,16
720-5/12-5(a)(5),Violent,RECK CONDUCT/GREAT BODILY HARM,16
720-5/12-15(A)(2),Violent,CRIM SX ABUSE/CANT CONSENT/2ND,16
720-5/12-9,Violent,THREATEN PUBLIC OFFICIAL,16
720-5/12-13(A)(4),Violent,CRIM SEX ASLT/VICTIM 13-1,16
720-550/5(B),Drug,DEL.CONT.SUB.,15
720-5/17-3A1,Nonviolent,ATTEMPT FORGERY,15
720-5/21-1,Nonviolent,CRIM DAMAGE TO PROP,15
720-5/11-9.3(b),Nonviolent,CHILD SEX OFFENDER/LOITERING,15
720-5/31-5,Nonviolent,CONCEAL/AID FUGITIVE,15
720-5/11-20.1(a)(2),Nonviolent,CHILD PORN/REPRODUCE/SELL,15
720-5/16H-30,Nonviolent,FIN INST LOAN FRAUD/>$100K,15
720-5/26-1(a)(12),Nonviolent,FALSE REPORT TO 911,15
720-5/12-7.4(a)(3),Violent,AGG STALKING/VIO REST ORDER,15
720-5/9-1(A)1),Violent,ATT MURDER/INT TO KILL/INJ,15
720-5/12-16(c)(2)(i),Violent,AGG CRIM SEX ABUSE/VICTIM <9,15
720-570/401(a)(6.5)(B),Drug,100<400 GRAMS METH/ANALOG,14
720-570/407.1,Drug,18+ USES<18 DEL CON/COUNT SUB,14
720-570/402(A)(1),Drug,POSSESS 15+ GRAMS HEROIN,14
720-570/401(c)(6.5),Drug,5<15 GRAMS METH/ANALOG,14
720-550/6,Drug,CASUAL DEL CAN/10-30 GRAM/1ST,14
720-570/401.1(a),Drug,CONTROLLED SUB TRAFFICKING,14
720-570/405.1(A)/401)(C)(1),Drug,CRIMINAL DRUG CONSPIRACY,14
720-550/8(b),Drug,PRODUCE 5-20 CANNABIS PLANTS,14
720-5/21-5,Nonviolent,CRIM TRESPASS TO STATE LAND,14
730-150/10(a),Nonviolent,SEX OFFENDER/FALSE INFO/2+,14
625-5/4-103.1,Nonviolent,VEHICLE THEFT CONSPIRACY,14
720-5/11-9.4(b)(5),Nonviolent,SEX OFFEN/RESIDE 500' PLAYGRND,14
720-5/10-5(B)(10),Nonviolent,CHILD ABDUCTN/LURE <16 YRS VEH,14
510-70/3.01,Violent,CRUELTY TO ANIMALS/2ND+,14
720-5/.2(a),Violent,SOLICITATION/MURDER/FOR HIRE,14
720-5/12-15(c),Violent,SX AB/AC <5YR OLDER/VIC 13-17,14
720-5/11-6(A)3),Violent,INDECENT SOL\AGG CRIM SEX ABUS,14
720-570/402C,Drug,ATTEMPT PCS,13
720-570/401(A)(1)(B),Drug,MFG/DEL 100<400 GR HERO/ANLG,13
720-570/404(c),Drug,POSSESS LOOK-ALIKE SUB/1ST,13
720-5/31A-1.1(g),Drug,BRING/POSS/CON SUB/PENAL INST,13
720-646/60(a)(1),Drug,POSSESSION OF METH< 5 GRAMS,13
720-5/16-1(B)(1),Nonviolent,THEFT/UNAUTHD CON/<$300/1ST,13
625-5/4-104(a)(4),Nonviolent,UNLWFL DISP TTL/CERTIF/PLT-1ST,13
720-5/16G-15(A)(3),Nonviolent,ID THFT/OBTAINS ANOTHR'S,13
720-5/31-1(A),Nonviolent,RESISTING PO,13
720-5/11-16(a)(2),Nonviolent,PANDERING/NO COMPULSION,13
720-5/19-5(a),Nonviolent,CRIM FORTIFICATION/RESID/BLDG,13
815-515/5(A),Nonviolent,AGG HM RPR FRD/INDUC CNTR,13
720-5/11-9.1(a)(2),Nonviolent,EXPLOITATION/EXPOSE ORGANS/2ND,13
720-5/5(/19)(1),Nonviolent,ATTEMPT BURGLARY,13
720-5/16H-45,Nonviolent,FIN CRIME/CONSPIRACY/>10K-100K,13
720-5/11-9.4(a),Nonviolent,SEX OFFENDER AT PUBLIC PARK,13
720-5/29B-1(A)(1),Nonviolent,MONEY LAUNDERING/KNOW/>$5,13
625-5/4-102(a)(1),Nonviolent,AID/ABET DAMAGE TO MTR VEHICLE,13
720-5/16A-3.5,Nonviolent,THEFT/USE EMER EXIT/>$150,13
720-5/12-4(B)(11),Violent,AGG BATTERY/PREGNANT PERS,13
720-570/405.1(/401)(C)(1),Drug,CRIMINAL DRUG CONSPIRACY,12
720-550/5.1(a),Drug,CANNABIS TRAFFICKING>5000 GRAM,12
720-570/402(a)(1)(D),Drug,POSSESS 900 + GRAMS HEROIN,12
720-570/405.1(\401)(1),Drug,CRIMINAL DRUG CONSPIRACY,12
720-5/16A-3(e),Nonviolent,RET THEFT/SHOP CART/<$150/2+,12
720-5/16A-3(C),Nonviolent,RET THEFT/REM PACK/<$150/,12
720-5/11-16(A)(2),Nonviolent,PANDERING/NO COMPULSION,12
720-5/32-2(A),Nonviolent,PERJURY,12
RETAIL THEFT,Nonviolent,RETAIL THEFT=720-5\16A-3(A-F),12
720-5/16G-20(a)(1),Nonviolent,AGG ID THEFT/AGE 60+ <$300,12
720-5/21-9,Nonviolent,CRIM TRES PLACE OF PUB AMUSE,12
720-5/17-3(A)(4),Nonviolent,DIGITAL SIGNATURE VIOLATI,12
625-5/4-103(a)(4),Nonviolent,KNEW VEHICLE ID REMOVE/FALSIFY,12
720-5/32-4(B),Nonviolent,COMMUNICATE/DETAIN WITNES,12
720-5/24-1,Nonviolent,UNLAWFUL USE OF A WEAPON,12
720-5/18-4(A)3),Nonviolent,ATTEMPT AGG VEHICULAR HIJACKIN,12
720-5/20-1.2(A),Nonviolent,RESIDENTIAL ARSON,12
720-5/8-4(A),Nonviolent,ATTEM. FINANCIAL ID THEFT,12
720-5/17A-3(A)(2),Nonviolent,IMMIG/STATE BNFT VIO>$150,12
720-5/24-3.1(A)(1),Nonviolent,UNLAWFUL POSSESSION OF HA,12
625-5/6-301.2(B)(3),Nonviolent,POSS/DISPLAY/FRAUD/DL/INT,12
720-5/5(/19)(1)(A),Nonviolent,ATTEMPT BURGLARY,12
720-5/12-14(B)(I),Violent,AGG CRIM SEX ASLT/VICTIM <9,12
720-5/12-6.2(a)(1),Violent,AGG INTIMIDATION BY GANG,12
720-5/25-1(D),Violent,MOB ACTION/VIOLENCE,12
720-5/9-3(F),Violent,INVOL MANSLAUGHTER FAMILY MBR,12
720-5/12-11(A)(6),Violent,HOME INVASION/VIO AGAINST,12
720-5/12-4(B)(3),Violent,AGGRAVATED BATTERY/SCHOOL,12
720-5/12-13(A)1),Violent,ATTEMPT CRIM SEX ASSAULT,12
720-5/12-15(A)(2)1),Violent,CRIM SEX ABUSE CANT CONSENT,12
AR,Violent,ARMED ROBBERY=720-5\18-2(A),12
720-5/10-1(A)(1),Violent,KIDNAPING/SECRETLY CONFIN,12
625-5/11-501(D)1)(F)1),Violent,AGG DUI/DEATH OF ANOTHER,12
625-5/11-503(C),Violent,AGGRAVATED RECKLESS DRIVI,12
720-5/12-16(A)(6),Violent,AGG CRIM SEX AB/DURING FELONY,12
720-5/12-4(b)(14),Violent,AGG BATTERY/HANDICAP PERSON,12
720-5/12-1(a),Violent,ASSAULT,12
720-570/402(A)(2)(C),Drug,POSSESS 400<900 GRAMS COCAINE,11
720-570/401(a)(7.5)(C)(ii),Drug,MFG 600>1500 PILL ECSTASY/ANLG,11
720-550/5.2(a),Drug,MFG/DEL CAN >500 GRAMS/SCHOOL,11
720-5/24-1(A)(1),Nonviolent,UNLAWFUL USE BLACK-JACK/K,11
720-5/19-3A,Nonviolent,ATT RES BURGLARY,11
625-5/6-301.1(b)(5),Nonviolent,POSS/FIC/ALT/DL/DEFRAUD,11
720-5/29B-1(a)(1),Nonviolent,MONEY LAUNDERING/KNOW/>$500K,11
625-5/4-103.2(a)(5),Nonviolent,POSS 2ND DIVISION VEH/STOLEN,11
625-5/12-612(a),Nonviolent,VEH/FLS OR SECRET COMPARTMENT,11
720-5/6-301.2,Nonviolent,ATT FRAUD DRIVERS LICS,11
720-5/11-20.1(A)(2),Nonviolent,CHILD PORN/REPRODUCE/SELL,11
720-5/24-1(A)(9),Nonviolent,CARRY/POSSESS CONCEALED G,11
720-5/25-1(c),Nonviolent,MOB ACTION,11
